lat,lon,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-22.985718,17.117737,305.4,0.39,0.36,2015/11/1,0,N,VIIRS,n,1,290.04,0.65,N,0
-23.717342,28.883644,308.09,0.43,0.62,2015/11/1,0,N,VIIRS,n,1,292.09,1.69,N,0
-23.716969,28.879345,332.95,0.43,0.62,2015/11/1,0,N,VIIRS,n,1,293.32,1.69,N,0
-23.711197,28.880003,309.26,0.43,0.62,2015/11/1,0,N,VIIRS,n,1,292.09,1.69,N,0
-22.385752,28.869013,312.29,0.41,0.61,2015/11/1,0,N,VIIRS,n,1,292.44,1.48,N,0
-22.385386,28.864826,310.52,0.41,0.61,2015/11/1,0,N,VIIRS,n,1,292.87,1.48,N,0
-22.383741,28.871305,307.7,0.41,0.61,2015/11/1,0,N,VIIRS,n,1,291.57,1.39,N,0
-22.383347,28.867128,314.77,0.41,0.61,2015/11/1,0,N,VIIRS,n,1,292.87,2.56,N,0
-26.721846,27.956114,305.11,0.4,0.6,2015/11/1,0,N,VIIRS,n,1,289.94,0.97,N,2
-26.794418,27.802841,308.04,0.39,0.6,2015/11/1,0,N,VIIRS,n,1,287.43,0.78,N,0
-26.800016,27.802376,302.23,0.39,0.6,2015/11/1,0,N,VIIRS,n,1,287.39,0.78,N,0
-26.804758,27.859112,305.24,0.4,0.6,2015/11/1,0,N,VIIRS,n,1,291.78,1.5,N,2
-26.797514,27.800787,307.27,0.39,0.6,2015/11/1,0,N,VIIRS,n,1,286.44,1.17,N,0
-26.797823,27.804777,303.45,0.4,0.6,2015/11/1,0,N,VIIRS,n,1,287.34,1.19,N,0
-26.807486,27.856993,307.12,0.4,0.6,2015/11/1,0,N,VIIRS,n,1,292.79,2.01,N,0
-26.758226,26.268904,321.62,0.64,0.54,2015/11/1,0,N,VIIRS,n,1,286.18,2.96,N,0
-26.771013,26.241249,304.38,0.63,0.54,2015/11/1,0,N,VIIRS,n,1,285.61,1.05,N,0
-26.776091,26.24069,299.84,0.63,0.54,2015/11/1,0,N,VIIRS,n,1,285.33,1.05,N,0
-26.756403,26.269436,305.12,0.64,0.54,2015/11/1,0,N,VIIRS,n,1,285.89,1.99,N,0
-26.761486,26.268826,312.52,0.64,0.54,2015/11/1,0,N,VIIRS,n,1,285.46,1.99,N,0
-26.77445,26.241114,313.26,0.63,0.54,2015/11/1,0,N,VIIRS,n,1,286,2.55,N,0
-26.784607,26.240021,296.76,0.63,0.54,2015/11/1,0,N,VIIRS,n,1,286.16,1.09,N,0
-28.207594,23.548542,301.72,0.45,0.47,2015/11/1,0,N,VIIRS,n,1,289.14,1.3,N,2
-28.358671,23.509233,311.64,0.45,0.47,2015/11/1,0,N,VIIRS,n,1,289.63,1.75,N,2
-29.66787,28.157383,295.95,0.44,0.63,2015/11/1,0,N,VIIRS,n,1,284.65,0.61,N,0
-28.857071,18.608013,296.55,0.41,0.37,2015/11/1,0,N,VIIRS,n,1,275.65,0.89,N,0
-33.607403,18.739058,296.07,0.45,0.39,2015/11/1,0,N,VIIRS,n,1,281.96,0.61,N,0
-33.843975,18.737328,306.87,0.45,0.39,2015/11/1,0,N,VIIRS,n,1,281.86,0.77,N,0
-33.843861,18.735672,309.23,0.45,0.39,2015/11/1,0,N,VIIRS,n,1,281.91,0.76,N,0
-25.696695,29.996624,295.2,0.53,0.67,2015/11/1,0,N,VIIRS,n,1,284.99,0.58,N,0
-25.77198,30.226875,298.62,0.54,0.68,2015/11/1,0,N,VIIRS,n,1,284.03,0.99,N,0
-24.654589,28.592749,308.7,0.42,0.61,2015/11/1,0,N,VIIRS,n,1,288.12,4.88,N,0
-24.659941,28.587778,336.97,0.42,0.61,2015/11/1,0,N,VIIRS,n,1,289.65,6.96,N,0
-24.660315,28.592085,367,0.42,0.61,2015/11/1,0,N,VIIRS,h,1,294.65,4.88,N,0
-24.659565,28.583456,308.18,0.42,0.61,2015/11/1,0,N,VIIRS,n,1,279.33,6.96,N,0
-23.722363,28.874376,302.37,0.43,0.62,2015/11/1,0,N,VIIRS,n,1,291.94,1.64,N,0
-22.985102,17.113941,301.68,0.39,0.36,2015/11/1,0,N,VIIRS,n,1,289.18,0.65,N,0
-24.507896,24.560331,305.43,0.47,0.48,2015/11/1,0,N,VIIRS,n,1,289.46,1.37,N,0
-25.060064,30.472927,315.18,0.55,0.68,2015/11/1,0,N,VIIRS,n,1,285.52,3.83,N,2
-25.066492,30.472298,299.62,0.55,0.68,2015/11/1,0,N,VIIRS,n,1,285.27,2.68,N,0
-25.049248,30.138538,309.03,0.53,0.67,2015/11/1,0,N,VIIRS,n,1,287.53,2.04,N,0
